Year,Team,PTS,FGA,3PA,3P%,AST,TOV,3P_Rate,Pace,ORtg,Era
1996,DET,95.4,74.7,16.5,0.404,19.6,14.8,0.22088353413654618,101.336,0.9414225941422595,1990s
1996,PHI,94.5,78.3,17.5,0.342,19.9,17.2,0.22349936143039592,107.644,0.8778937980751366,1990s
1996,BKN,93.7,82.3,9.1,0.335,21.4,16.8,0.11057108140947752,111.15599999999999,0.8429594443844688,1990s
1996,CLE,91.1,73.1,19.3,0.377,22.2,13.1,0.26402188782489744,95.704,0.9518933377915239,1990s
1996,MEM,89.8,79.1,13.8,0.329,20.8,16.4,0.17446270543615677,106.23599999999999,0.8452878496931361,1990s
1997,UTA,103.1,75.8,11.0,0.37,26.8,15.4,0.14511873350923482,104.18,0.9896333269341523,1990s
1997,CHI,103.1,84.4,17.1,0.373,26.1,13.5,0.20260663507109006,107.80000000000001,0.9564007421150277,1990s
1997,PHX,102.8,81.8,17.4,0.369,25.2,14.4,0.21271393643031783,107.596,0.9554258522621658,1990s
1997,OKC,100.9,78.2,19.3,0.353,23.5,15.0,0.24680306905370844,105.52000000000001,0.9562168309325246,1990s
1997,BOS,100.6,85.0,16.2,0.351,21.9,16.4,0.19058823529411764,113.19200000000001,0.8887553890734327,1990s
1997,HOU,100.6,79.1,22.4,0.365,24.5,16.6,0.2831858407079646,106.392,0.9455598165275585,1990s
1997,PHI,100.2,83.5,16.5,0.319,20.7,17.5,0.19760479041916168,114.156,0.8777462419846526,1990s
1997,LAL,100.0,81.0,18.3,0.367,22.5,14.9,0.22592592592592595,108.396,0.9225432672792354,1990s
1997,GSW,99.6,80.1,16.6,0.353,22.2,17.2,0.20724094881398256,109.004,0.9137279365894828,1990s
1997,WAS,99.4,81.4,12.2,0.331,23.4,15.7,0.14987714987714987,107.70400000000001,0.9228997994503454,1990s
1997,POR,99.0,78.8,17.1,0.358,20.9,16.5,0.217005076142132,107.444,0.9214102229998883,1990s
1997,CHA,98.9,77.3,16.9,0.428,24.6,14.7,0.2186287192755498,102.648,0.963486867742187,1990s
1997,DEN,97.8,81.5,20.9,0.372,23.0,16.6,0.256441717791411,108.792,0.8989631590558129,1990s
1997,LAC,97.2,81.7,16.3,0.354,20.3,16.0,0.19951040391676866,108.83200000000001,0.8931196706850926,1990s
1997,BKN,97.2,86.5,16.7,0.353,21.0,15.7,0.1930635838150289,113.11200000000001,0.8593252705283259,1990s
1997,SAC,96.4,80.6,12.9,0.391,21.9,16.2,0.1600496277915633,107.88799999999999,0.893519205101587,1990s
1997,MIN,96.1,78.5,13.3,0.339,22.9,15.2,0.1694267515923567,105.40400000000001,0.9117301051193502,1990s
1997,TOR,95.5,80.9,19.8,0.363,20.9,16.4,0.24474660074165636,108.08000000000001,0.8836047372316801,1990s
1997,NYK,95.4,75.9,15.8,0.363,22.1,17.8,0.20816864295125165,105.052,0.9081216921143814,1990s
1997,IND,95.4,76.3,13.8,0.381,21.3,16.3,0.18086500655307997,105.14,0.9073616130873122,1990s
1997,MIL,95.3,76.9,11.2,0.352,19.6,15.7,0.14564369310793235,103.908,0.9171574854679139,1990s
1997,MIA,94.8,76.0,22.7,0.364,21.2,15.9,0.2986842105263158,102.768,0.9224661373190097,1990s
1997,ATL,94.8,76.9,22.4,0.359,19.0,15.0,0.2912873862158647,102.372,0.9260344625483531,1990s
1997,DET,94.2,74.3,18.3,0.388,19.0,12.7,0.24629878869448185,97.692,0.9642550055275766,1990s
1997,ORL,94.1,79.2,20.3,0.341,20.6,15.2,0.2563131313131313,105.004,0.8961563369014512,1990s
1997,DAL,90.6,78.7,16.0,0.327,20.3,16.1,0.20330368487928843,105.096,0.8620689655172413,1990s
1997,SAS,90.5,77.9,14.4,0.32,20.3,15.2,0.18485237483953787,103.44000000000001,0.8749033255993812,1990s
1997,MEM,89.2,78.7,15.5,0.349,22.7,15.9,0.19695044472681067,103.88400000000001,0.8586500327288128,1990s
1997,CLE,87.5,72.8,15.7,0.376,20.9,14.5,0.21565934065934067,96.804,0.90388826907979,1990s
1998,LAL,105.5,79.7,17.3,0.351,24.5,15.3,0.21706398996235884,109.74,0.9613632221614726,1990s
1998,MIN,101.1,83.5,10.6,0.347,25.2,13.9,0.12694610778443113,109.5,0.9232876712328767,1990s
1998,UTA,101.0,74.5,8.2,0.372,25.2,15.4,0.11006711409395972,104.06800000000001,0.9705192758580927,1990s
1998,OKC,100.6,78.8,19.1,0.396,24.2,14.0,0.2423857868020305,104.108,0.9663042225381334,1990s
1998,PHX,99.6,81.8,14.8,0.356,25.9,15.1,0.18092909535452326,107.37199999999999,0.9276161382855866,1990s
1998,BKN,99.6,84.5,11.4,0.331,20.5,14.4,0.1349112426035503,111.528,0.8930492791047987,1990s
1998,HOU,98.8,79.4,20.4,0.343,21.9,15.8,0.2569269521410579,106.596,0.9268640474314233,1990s
1998,WAS,97.2,83.1,11.5,0.339,23.2,14.1,0.13838748495788208,108.77199999999999,0.8936123267017249,1990s
1998,CHI,96.7,82.9,11.7,0.323,23.8,14.4,0.14113389626055486,108.08000000000001,0.8947076239822354,1990s
1998,CHA,96.6,77.4,11.0,0.383,23.7,15.2,0.1421188630490956,104.34800000000001,0.9257484570859047,1990s
1998,MEM,96.6,80.1,11.0,0.362,23.9,17.1,0.1373283395755306,108.72800000000001,0.888455595614745,1990s
1998,IND,96.0,75.9,12.5,0.39,23.0,14.2,0.1646903820816864,101.54,0.945440220602718,1990s
1998,BOS,95.9,84.6,15.2,0.332,22.1,16.2,0.17966903073286053,111.36,0.8611709770114943,1990s
1998,LAC,95.9,81.6,17.9,0.358,18.7,16.1,0.2193627450980392,108.69999999999999,0.8822447102115917,1990s
1998,ATL,95.9,77.5,12.4,0.332,19.1,14.8,0.16,104.708,0.9158803529816252,1990s
